"Ship",Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,"LongHem",LatDeg,LatMin,"LatHem",Longitude,Latitude,WaterDepthM,SampleDepthM,OxMgL
"OREGON-II",0318,19JUN2016,00:01:54,095,01,094,37.26,W,28,56.75,N,-094.621000,28.945833,19.1,18.000,3.0060
"OREGON-II",0318,19JUN2016,02:28:34,096,01,094,30.14,W,29,00.02,N,-094.502333,29.000333,18.9,17.000,1.4671
"OREGON-II",0318,19JUN2016,03:05:30,097,01,094,28.63,W,28,57.08,N,-094.477167,28.951333,18.7,18.000,2.0561
"OREGON-II",0318,19JUN2016,06:27:20,098,01,094,07.92,W,29,04.43,N,-094.132000,29.073833,19.6,17.000,1.4452
"OREGON-II",0318,19JUN2016,09:01:00,099,01,093,56.87,W,29,08.79,N,-093.947833,29.146500,18.7,18.000,1.1183
"OREGON-II",0318,19JUN2016,10:08:36,099,02,093,59.58,W,29,07.26,N,-093.993000,29.121000,19.3,18.000,2.0873
"OREGON-II",0318,19JUN2016,13:21:52,100,01,094,22.38,W,29,18.12,N,-094.373000,29.302000,16.2,14.000,1.74013
"OREGON-II",0318,19JUN2016,15:51:05,101,01,094,29.19,W,29,26.38,N,-094.486500,29.439667,11.4,9.000,0.20740
"OREGON-II",0318,19JUN2016,17:05:03,102,01,094,18.76,W,29,27.87,N,-094.312667,29.464500,13.3,12.000,0.59998
"OREGON-II",0318,19JUN2016,18:40:21,103,01,094,17.19,W,29,30.60,N,-094.286500,29.510000,11.9,10.000,0.69438
"OREGON-II",0318,19JUN2016,20:33:50,104,01,094,10.60,W,29,29.90,N,-094.176667,29.498333,12.3,12.000,1.33093
"OREGON-II",0318,19JUN2016,21:48:56,105,01,094,09.08,W,29,29.92,N,-094.151333,29.498667,13.0,12.000,0.63453
"OREGON-II",0318,20JUN2016,00:07:02,106,01,093,59.59,W,29,29.79,N,-093.993167,29.496500,12.7,11.000,0.2586
