"Ship",Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,"LongHem",LatDeg,LatMin,"LatHem",Longitude,Latitude,WaterDepthM,SampleDepthM,OxMgL
"OREGON-II",0318,24JUN2016,15:06:14,122,01,092,42.43,W,29,01.98,N,-092.707167,29.033000,25.5,24.000,2.7534
"OREGON-II",0318,24JUN2016,17:36:34,123,01,092,47.95,W,29,10.58,N,-092.799167,29.176333,20.3,20.000,0.0534
"OREGON-II",0318,24JUN2016,20:24:53,124,01,093,04.90,W,29,10.53,N,-093.081667,29.175500,19.4,19.000,1.4083
"OREGON-II",0318,24JUN2016,21:20:54,124,02,093,03.13,W,29,08.73,N,-093.052167,29.145500,20.1,19.000,1.0565
"OREGON-II",0318,24JUN2016,23:06:11,125,01,093,00.48,W,28,59.55,N,-093.008000,28.992500,24.3,24.000,2.5046
"OREGON-II",0318,25JUN2016,00:00:59,126,01,093,07.43,W,28,56.32,N,-093.123833,28.938667,23.8,24.000,3.1874
"OREGON-II",0318,25JUN2016,02:28:00,127,01,093,19.00,W,28,50.73,N,-093.316667,28.845500,25.1,25.000,3.6853
"OREGON-II",0318,25JUN2016,04:16:58,128,01,093,19.71,W,28,51.79,N,-093.328500,28.863167,23.5,23.000,4.0991
"OREGON-II",0318,25JUN2016,06:20:31,129,01,093,19.65,W,28,57.89,N,-093.327500,28.964833,23.8,22.000,3.2803
"OREGON-II",0318,25JUN2016,08:49:20,130,01,093,24.73,W,29,10.84,N,-093.412167,29.180667,17.2,16.000,0.7954
"OREGON-II",0318,25JUN2016,11:20:40,131,01,093,30.75,W,29,04.28,N,-093.512500,29.071333,21.5,21.000,1.5494
"OREGON-II",0318,25JUN2016,13:48:57,132,01,093,27.13,W,29,00.30,N,-093.452167,29.005000,24.5,24.000,1.3228
